Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,point.x,point.y,point.z
1403636578.946206,23,1403636578,922881364,,4.782299717479681,-1.815573627707949,0.844627073703417
1403636579.0041435,24,1403636578,968881368,,4.782211875203567,-1.814786498679201,0.857671004873771
1403636579.0479658,25,1403636579,22881269,,4.780753076148544,-1.813192217961323,0.874623868538954
1403636579.0918152,26,1403636579,68881273,,4.779119047234494,-1.812024099627725,0.891923194574204
1403636579.1378753,27,1403636579,118881225,,4.778763763639956,-1.811005571673068,0.911808687611646
1403636579.186225,28,1403636579,169881343,,4.777324717064561,-1.809848509910934,0.931869271432353
1403636579.254741,29,1403636579,219881296,,4.776842047978657,-1.808780968380039,0.951898945542721
1403636579.3358161,30,1403636579,270881175,,4.778211370448088,-1.808358152496969,0.972186857221806
1403636579.3889618,31,1403636579,366881370,,4.779253606637803,-1.807804150780571,1.010285216929578
1403636579.4387584,32,1403636579,422881364,,4.779215910232008,-1.807703323337441,1.030940795399661
1403636579.5058267,33,1403636579,466881275,,4.778685512657686,-1.807729375683401,1.047815351509628
1403636579.5886767,34,1403636579,520881175,,4.77796040108369,-1.808118652195397,1.064706825294105
1403636579.6382084,35,1403636579,569881200,,4.778814219965764,-1.809278562305658,1.079138408163674
1403636579.6896102,36,1403636579,621881246,,4.779293549512449,-1.810337804611678,1.089258104955462
1403636579.754241,37,1403636579,717881202,,4.782343558062946,-1.812081167988892,1.095027373006829
1403636579.7978356,38,1403636579,766881227,,4.783936670571112,-1.812689014911697,1.091240672110694
1403636580.3305862,39,1403636580,267881393,,4.777233878350624,-1.820940060116659,0.895287863282205
1403636580.373948,40,1403636580,369881391,,4.775467081553665,-1.822931931852263,0.846697965274349
1403636580.4282823,41,1403636580,421881198,,4.774245391993405,-1.824010372512895,0.82534881665677
1403636580.5060189,42,1403636580,470881223,,4.777915598197157,-1.827112941245466,0.806465661210415
1403636580.5495136,43,1403636580,518881320,,4.778242406906093,-1.828547443029606,0.790348623283586
1403636580.5944345,44,1403636580,568881273,,4.777867532847703,-1.829693865296635,0.776357550893807
1403636580.6382158,45,1403636580,618881225,,4.777164616399012,-1.830450949570905,0.766556620423604
1403636580.6876857,46,1403636580,667881250,,4.776393605214227,-1.830910610505948,0.762692654581394
1403636580.7527685,47,1403636580,718881368,,4.776877903832799,-1.83143278330864,0.767140469255473
1403636581.1701145,48,1403636580,969881296,,4.753474641973491,-1.825295813918123,0.899622217340406
1403636581.2888796,49,1403636581,218881368,,4.75930233485528,-1.832582416741158,1.080574605008735
1403636581.3325968,50,1403636581,316881179,,4.760166022904956,-1.831460566536373,1.138220415097557
1403636581.3775883,51,1403636581,369881391,,4.761293305404497,-1.830368965028887,1.162475408446803
1403636581.4269528,52,1403636581,417881250,,4.762917475608325,-1.829788671585789,1.182859978060066
